Number of Spheres: 1000
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.05133, variance 0.1
Mean coordination No. 10.842
0.0125907 0.706848 0.974447 0.043653
0.566602 0.883761 0.782703 0.0831537
0.345872 0.267741 0.733353 0.0438656
0.366599 0.591307 0.0483568 0.0343571
0.0620197 0.393805 0.100457 0.0486012
0.959638 0.486479 0.164111 0.0392926
0.30181 0.798863 0.126102 0.0484917
0.249037 0.314199 0.706585 0.0437676
0.0518747 0.575985 0.26049 0.0566755
0.0481472 0.0756954 0.0588857 0.0312088
0.593059 0.973121 0.708604 0.0358895
0.280814 0.578639 0.756279 0.0918685
0.619615 0.883046 0.626412 0.0818858
0.861806 0.0187251 0.858026 0.0592202
0.639469 0.495239 0.0539494 0.0369334
0.103838 0.176005 0.591845 0.0663208
0.350789 0.870424 0.364052 0.0494613
0.402479 0.0918807 0.027744 0.0426193
0.282802 0.968084 0.172338 0.0330493
0.476128 0.892252 0.644883 0.0590617
0.368457 0.0192295 0.261541 0.0291751
0.325013 0.205048 0.488387 0.028469
0.131897 0.467364 0.00912574 0.046835
0.876936 0.216416 0.0674172 0.0314568
0.838506 0.748496 0.791766 0.0359291
0.761771 0.928027 0.242324 0.0296237
0.766954 0.510613 0.928356 0.0477508
0.716562 0.233465 0.734554 0.0455639
0.945537 0.572874 0.86104 0.047941
0.440884 0.833977 0.888063 0.0882643
0.0626234 0.289698 0.54189 0.0189636
